paragraphs,reference_summary
"Ambêg rahayu punika langkung prêlu tinimbang sakathahing wêwatakan. Kalampahanipun sae, bêgja tuwin majêng, punika têwah saking ambêg rahayu. Wontên satunggaling dongèng: nyariyosakên lêlampahanipun ditya nami Praladha, amargi saking anggènipun nglampahi wajib sarana ambêg rahayu, lajêng kaparingan nugraha dening Sang Hyang Indra, pinarêngakên mangrèh tri bawana. Nalika Sang Hyang Indra tumêdhak, amindha warna brahmana, Praladha katampi dados siswanipun, saking sangêting sungkêmipun Praladha dhatêng gurunipun, ngantos prasêtya sadaya dhawuhipun badhe dipun lampahi. Wêkdal samantên Sang Hyang Indra lajêng dhawuh: Praladha angaturna saening watakipun dhatêng Sang Hyang Indra. Sanadyan Praladha sangêt   sumêlanging manahipun dhatêng kadadosanipun bilih sirna watakipun sae, ewadene Praladha nyandikani, sinaksèn ing prasêtya.;",Ambêg rahayu lan donga minangka têtuladan utama.
"Nalika wau Praladha linggih kalayan manah dhatêng kasagahanipun, katingal wontên cahya, sunaripun tanpa watêsan mêdal saking badanipun. Ing ngriku Prabu Praladha pitakèn: sira iku sapa, cahya mangsuli: ingsun iki maujuding watakira bêcik, kang nêdya sira pisah, samêngko ingsun anguncati, arêp manjing marang brahmana kang binaktèn ing siswane. Wontên wujud sanèsipun malih ingkang mêdal saking sariranipun Prabu Praladha, sarêng dipun pitakèni mangsuli: ingsun watak adil, ingsun kudu manggon ing êndi kang dinunungan dening watak bêcik. Makatên ugi wêdaling katêmênan, pandamêl sae, pangwasa sarta kabêgjan, wêdalipun kabêgjan wau sarwi wicantên, hèh Praladha, amarga saka bêciking pambêganira, sira bakal bisa mangrèh tri bawana.;","Praladha nyumangga sariranipun, nêrangaken ambêg bêcik."
"Samêngko wus kasumurupan kabèh, sira amboyong ratuning dewa, marga saka bêciking pambêkan, adil, têmên, panggawe bêcik, pangwasanira lan ingsun pribadi, lah sira kang wicaksana, kabèh mau tumuwuh saka bêciking pambêkan. Sasampunipun makatên kabêgjan lajêng uncat atut wuri dhatêng pambêka sae.;",Kabêgjan asalipun saking pambêkan adil lan budi luhur.
"Wontên têtuladan sae sanèsipun, sambêt kalihan kasusilan, ingkang marambah-rambah kula sumêrêpi, wontên ing sêrat, Mahabarata, suraosipun anêdahakên, manawi pambêkan ingkang sae tumrap salah satunggiling tiyang punika botên tamtu prayogi tumrap tiyang sanès, sarta kawajiban punika dumunung wontên tiyang wau tiyang punapa. Manawi andika punika lare, ingkang sae tumrap andika, punika anglampahi saparentahing guru andika, bilih jêngandika dados guru, ingkang sae tumrap andika punika anêdahakên tiyang dhatêng kawajibanipun. Bilih ijêngandika punika bapa, wajib ijêngandika ngayomi suta andika. Nanging manawi jêngandika anak jalêr, wajib ijêngandika angestokakên parentahipun sudarma andika. Ingkang migunani tumraping tiyang, dumunung wontên kawruhipun, sarta wontên pratitisipun anggèning anambut kawajibanipun, ing pundi pamanggènipun ingkang tinêdahakên dening gêsangipun. Tumrap andika para siswa, botên prêlu nyumêrepi kawajibaning tiyang dados bapa. Ingkang prêlu tumrap andika, nyumêrepi kawajibaning siswa sarta anglampahi.;",Kawajiban kêdah sinau pratitis lan kalampahan sae.
"Sêrat Mahabarata punika ingkang kaluhurakên, prakawis pambêkan sarta pamanggèning gêsang andika. Sêrat wau nyumêrêpakên sadaya ingkang prêlu tumrap satunggal-tunggaling tiyang, wontênipun ing piwulang kasusilan. Pintên-pintên sêrat ingkang angêwrat piwulang amung tumrap tiyang sagêlêngan, sarta amung piguna tumrap para ingkang sampun luhur kawruhipun, nanging tiyang ingkang botên lantip lajêng botên sagêd nampèni.;",Mahabarata ngajari pambêkan lan pamanggi gêsang mawi têtuladan.
"Sêrat anggêr amung piguna tumrap tiyang ingkang sami angsal piwulang pangadilan, nanging botên migunani tumraping amongtani. Pintên-pintên sêrating agami ingkang amung tumrap para mursid, ananging sêrat Mahabarata pakangsal tumrap sintên kemawon, sarta sapintên sakêdhiking sasêrêpanipun, ewadene mêksa angsal piwulang. Dados sêrat wau kenging kawaos dening sawiyah tiyang, sarta sabên tiyang sagêd angsal kabêgjan saking ing ngriku. Sanadyan tiyang botên maos sêrat sanèsipun, tiyang badhe sagêd angsal sawêrnining kawruh. Manawi tiyang bêtah badhe ngudi kawruh agami tuwin kasusilan, sagêd angsal kawruh amung saking maos serat Mahabarata.;","Sêrat punika tumrap sadaya, botên kangge golongan tartamtu."
"Sadarsana, angrêmbag bab cipta, dayaning kanalaran tuwin daya ing nglêbêtipun manungsa. Sadarsana amarah kasunyataning pangeran, manungsa, dunya tuwin dumados , sadaya wau pinangkat-pangkat saking ciptanipun. Mahabarata marah bab sadarsana, ingkang alêlandhêsan agami Hindhu. Kacariyos wontên satunggaling narendra ingkang sakalangkung luhur, , inggih punika pribadi kang esa, dumunung ing nglêbêtipun satunggal-tunggal, tuwin ing nglêbêtipun samukawis. Pangeran punika wontên ing pundi-pundi, ing nglêbêtipun srêngenge, ing rêmbulan, ing lintang, ing nglêbêtipun para dewa tuwin manungsa, ing nglêbêtipun kewan, têtuwuhan, tuwin ing pêpêlikan. Wontên gêsang satunggal, sumimpên ing nglêbêtipun sadaya, inggih punika Pangeran kang Maha Agung. Dados sadaya dumados punika satunggal, mila botên lêrês manawi pêpisahan. Pundi ingkang sae tumrap salah satunggal inggih sae tumrap sadaya, pundi ingkang sae tumrap sadaya inggih sae tumrap salah satunggal. Amila kita kêdah amêmitran kalihan sadaya, sarta asih dhatêng sadaya. Tiyang punika gêsang satunggal, dados manawi tiyang anyêrikakên dhatêng tiyang sanès, punika anatoni manahipun piyambak. Gêsang ingkang wontên ing lêmbu, punapa ing nglêbêting pêksi, punika inggih gêsanging tiyang. Jêngandika wajib kêdah rumêksa sarta angayomi, kados dhatêng gêsang andika piyambak.;",Mahabarata ngajari pangayoman titah minangka satunggal.
" Kaparênga kula nyariyosakên lêlampahanipun Prabu Usinara kalihan pêksi dara ingkang nêdya nyuwun pangayoman ing panjênênganipun. Kawajibaning ratu ingkang minulya piyambak punika angayomi sadhengah ingkang sami wontên ing dalêm wawêngkoning kaprabonipun. Dewa kêkalih, Sang Hyang Indra kalihan Bathara Agni, karsa anyobi kasêtyanipun Sang Prabu Usinara ing ngatasing kawajiban. Sang Hyang Indra mancala warna pêksi alap-alap, dene Bathara Agni dados dara. Sasampunipun sami mancala warna, alap-alap lajêng ambujêng pun dara, mila dara ngupaya pangayoman dhawah ing pangkonipun sang prabu. Alap-alap matur manawi dara punika sampun pinasthi dados boyonganipun. Ananging sang prabu botên marêngakên, amargi awêwaton pasêksèn, dene dara nyuwun pangayomanipun ratu ingkang amêngku ing praja wau. Pun alap-alap lajêng pratela manawi kecalan têdhanipun, punika ugi kawajibaning ratu angayomi kawulanipun ingkang badhe pêjah kaluwèn. Sang prabu botên karsa anguculakên dara saking pangayomanipun, mila dhawuh badhe anglintoni tatêdhan sanèsipun, ananging kaparingan punapa kemawon alap-alap botên narimah, pun alap-alap ugi purun nampèni manawi linintu daginging  sariranipun sang prabu ingkang bobotipun sami kalihan wawrating dara.;",Prabu Usinara nêdahakên kasêtyan lan pangayoman agêng.
" Sang prabu marêngakên mila lajêng angiris sariranipun kadèkèk ing taraju sinisihan pêksi dara. Ananging tansah jumplang awrat daranipun, ngantos kawêwahan marambah-rambah kairisakên malih mêksa awrat daranipun, ngantos sariranipun têlas dagingipun, sadaya kadèkèk ing taraju. Sanalika wau dewa kêkalih lajêng sami ngejawantah, sarta paring nugraha dhatêng sang prabu, dene sang prabu sampun kadugi anglilahakên sariranipun piyambak kangge lintunipun titah ingkang nyuwun pangayoman ing panjênênganipun.;",Kasêtyanipun Prabu Usinara dipun nugraha déning para dewa.
" Sêrat Mahabarata punika satunggaling sêrat piwulang sae, malah bokmanawi langkung saking samantên, sêrat wau kandêl isi:  dhil, ing ngriku nyariyosakên lêlampahan sayêktos watawis sampun gangsal èwu taun dumugi samangke. Gangsal èwu taun ingkang kapêngkêr, Sri Krêsna anggènipun anilar sariranipun wadhag, ing nalika wiwitaning jaman Kali, wêkasaning cariyos wau, ing ngriku anggènipun Sri Krêsna uncat saking dunya. Ingkang prêlu kêdah dipun sumêrêpi, bilih punika sanès pangathik-athiking tiyang, nanging satunggaling cariyos lêlampahanipun tiyang ingkang sampun kalampahan sayêktos, ing ngriku nyariyosakên lêlampahaning băngsa satriya agêng-agêng, inggih punika prajurit ing tanah Hindhu, ingkang saperangan agêng sirna wontên samadyaning paprangan agêng. Para wadyabalanipun para satriya agêng-agêng wau ingkang sampun adamêl rahayu saha amagêri waja nagari Hindhu. Kalampahan kathah ingkang sami kasambut ing madyaning palagan agêng, sisaning pêjah băngsa wau lêstantun kados satunggaling golongan ingkang kuwawi, sarta têdhak turunipun kantun sawatawis, sami pating salêbar panggenanipun. Inggih sirnaning băngsa wau ingkang kadi amêngakakên kontênipun praja Hindhu, wasana lajêng asor sarta alum.;",Mahabarata nyariyosakên lêlampahan satriya Hindhu kang agêng piwulangipun.
"Kaliyoga punika satunggaling jaman, ingkang têtiyanganipun sirna piyandêlipun dhatêng para dewa tuwin pandamêlipun para dewa, mila saya sangêt korupipun dhatêng kawontênan lair. Ingkang kapitados amung samukawis ingkang kenging katingalan, kamirêngakên, ginrayang, kaambu tuwin dipun kênyami. Ringkêsipun samukawis ingkang kenging sinarawung dening indriyanipun badan-badan. Andika pitados dhatêng bangku, amargi kenging andika tingali tuwin ginrayang, andika pitados dhatêng satunggaling griya tiyang, kawontênan sakiwa têngên andika, awit andika sagêd nyumêrêpi.;",Kaliyoga minangka jaman ingkang namung pitados dhatêng kawadhagan lan botên kasatmata.
"Ananging kathah tiyang ingkang botên pitados dhatêng samukawis ingkang piyambakipun botên sagêd aningali utawi anggrayang. Dhatêng para dewa ingkang salami-laminipun tansah anjangkung manungsa, malah dhatêng kang maha luhur, ingkang sugêngipun ugi dados gêsanging manungsa, sami botên pitados. Kathah tiyang ingkang pitadosipun dhatêng punika wau taksih sêmang-sêmang. Tiyang-tiyang ingkang makatên botên mungêl bilih piyambakipun botên pitados dhatêng para dewa, ananging gêsangipun sampun amratandhani manawi pancên botên pitados. Samukawis kawontênan sakubêngipun tiyang ingkang dipun wontênakên dening para dewa, punika botên kaanggêp bilih dewa ingkang ngwontênakên. Jêngandika mastani kodrad dhatêng srêngenge ingkang andadari, rêmbulan ingkang sumorot, gumrujuging toya, punapadene urubing latu, punika kawontênan ingkang padatan kemawon. Măngka ing nglêbêtipun satunggal-tunggalipun wau isi satunggaling dewa ingkang anambut karya. Bilih latu murub ing tumang punapa ing wana, punika pakartining dewa, dene latu wau lampah pamarkati anggèning ngatingalakên kawontênanipun. Latu punika botên saking pakartining tiyang ingkang sagêd dhatêng kawruh pamisah, ananging punika pakartining Bathara Agni sarêng gumêlar wontên ing dunya.;",Kathah tiyang botên nganggep pakaryan para dewa ingkang botên kasatmata.
"Gumêlaripun wontên ing alam sanès-sanèsipun, santun lampah malih, nanging wontênipun ing ngriki awujud latu. Kados ilining lèpèn Gangga, punika ing ngriku wontên satunggaling widadari ingkang anambut karya. Gumêlaripun wontên kaswargan botên makatên, nanging wontênipun ing ngriki dados lèpèn agêng. Bilih andika botên pitados dhatêng ingkang makatên wau, sêrat Mahabarata lêstantun dados cangkriman ingkang jêngandika botên sagêd ambadhe. Karantên ing sêrat Mahabarata nyariyosakên kawontênan ingkang kados sayêktos, tuwin botên kados pasêmon. Anggènipun badhe nyumêrêpakên punika botên cariyos, manawi latu ambêsmi wana Kandhawa, amung lajêng dipun cariyosakên manawi Bathara Agni anglêbur wana wau.;",Latu lan lèpèn Gangga nggambaraken pakartinipun para dewa ing alam kasatmata.
"Sêrat Mahabarata tansah nyariyosakên samukawis ingkang sampun kawontênakên dening dewa. Tiyang ingkang botên pitados dhatêng dewa nganggêp manawi punika amung pangathik-athik ingkang pinardawa. Botên sapintêna tiyang ingkang pitados, bilih makatên wau samangke ugi taksih tumindak, sarta lêstantun tumindak ing salami-laminipun. Ing jaman sanès-sanèsipun, para dewa anambut karya sarta ngatingali ing manungsa. Samangke  sêsingidan, amargi pitadosipun manungsa amung dhatêng kawadhagan, botên dhatêng panjênênganipun. Kalamăngsa tiyang ingkang sukci tuwin ambêk sih sagêd sumêrêp dhatêng para dewa, kados ing jaman kina, mila tiyang wau pitados dhatêng ungêling sêrat kados makatên punika, dados cariyosing lêlampahan wau lajêng katingal botên anglêngkara.;",Mahabarata nyariyosakên lêlampahan para dewa lan manungsa ing kasunyatan luhur.
"Wêkdal samangke sabên-sabên wontên tiyang mungêl, bilih peranganing kodrad ingkang botên kasatmata, winastan kodrad kang luhur, punika kalintu. Kodrading alam-alam sarta kawontênan punika ingkang kathah botên katingalan dening maripat wadhag, ananging têtela punika wau ingkang angebahakên alam kang asor.;",Kodrat luhur punika pengaruh ingkang langkung agêng tinimbang kasatmata.
"Ing têmbe para dewa marah piyambak dhatêng manungsa, kalamăngsa alantaran para linangkung, ingkang sinêbut para wicaksana utawi rêsi. Mantram, pikajêngipun: tatêmbungan, utawi kaèbêkan suraos, ingkang ungêlipun wontên pangwasanipun, tumrap ing alam gaib --- kawarahakên supados dipun pedahakên dening tiyang. Dene dayaning mantram wau angedap-edapi. Tiyang sampun sami kawarah kadospundi anggènipun angèsthi, murih ciptanipun tuwuh pangwasanipun.;",Para dewa marah liwat rêsi lan mantram kangge ngarahaken tiyang.
"Kita sampun maos, kadospundi tiyang anggènipun ngèsthi dhatêng para dewa, sarta sagêdipun dewa kasumêrêpan ing tiyang, awit saking pangèsthinipun wau. Kadospundi tiyang anggènipun ngèsthi dêdamêl, sarta sagêdipun dêdamêl wau kadarbe ing piyambakipun. Cipta punika salami-laminipun wontên daya kakiyatanipun, para sarjana sampun kathah ingkang sami anyobi. Nadyan ing jaman kina ugi botên sabên tiyang sagêd anandukakên pangwasa andhatêngakên dewa, utawi andhatêngakên dêdamêl, saèstunipun amung para linangkung ingkang sagêd anêtêpi piwulangipun para dewa tumrap prakawis wau. Samangke wontên yogi sawatawis sagêd nandukakên dayaning cipta, amargi para dewa punika botên nate ewah ginggir, pakartinipun inggih botên nate santun, nanging tiyang saya têlas pangwasanipun, kabêkta saking botên pitados dhatêng dewa.;",Namung tiyang suci utawi linangkung ingkang saged mangrêtos pakartinipun para dewa.
"Para dewa punika ingkang masesa bawana, kadosdene kusir anggèning angêlisi kapal rakitan. Dados dunya punika rinèh ing para dewa. Pêpindhanipun kados jêngandika numpak kareta, kalayan anyêpêng lis, lajêng anginggokakên kapalipun dhatêng ing pundi ingkang andika kajêngakên, makatên wau panjaginipun para dewa dhatêng dunya, sarta anurunakên kakiyatan dhatêng  ing dunya, lajêng kaingêr keblatipun.;",Para dewa ngatur jagad kados kusir ngêlisi kareta supados tetep lurus.
"Salami-laminipun para dewa tansah nindakakên kawajibanipun amranata bawana murih prayoginipun, amargi bawana sampun dangu anggènipun lumampah, mila tamtu manggih pintên-pintên simpangan ingkang nyimpang saking margi agêng. Ingkang kaupamèkakên margi agêng wau kawastanan: kamajêngan  inggih punika ingkang linangkungan sagung dumados, saking wiwitan ngantos wêkasanipun. Manawi jêngandika lumampah saking ing Bênarès ngriki, dhatêng ing Alabat, jêngandika nglangkungi pintên-pintên simpangan, ananging manawi jêngandika lêstantun lumampah urut margi agêng wau, andika badhe tumuntên dumugi ing Alabat. Para dewa anggènipun angusiri bawana kawêdalakên urut margi agêng, ananging manungsa kalamăngsa lajêng minggok anut margi simpangan, ingkang katingalipun sakeca dipun langkungi, măngka saurut pinggiring margi agêng wau pinagêran saha dipun jagang, dados manawi tiyang amargi saking pangangkahipun piyambak nêdya minggok saking margi agêng tamtu lajêng kacêmplung ing jagang utawi katatap ing pagêr, ing ngriku tiyang mastani, manawi tiyang wau manggih sangsara tuwin kasusahan. Ananging kasusahan tuwin kasangsaran wau sae, dene dhumawah ing piyambakipun, awit upami  para dewa botên andèkèkana pakèwêd ing margi simpangan wau, tiyang badhe kalajêng-lajêng anggènipun kasasar, wêkasan bilai.;",Manungsa ingkang klintu margi dipun tuntun para dewa lumantar kasusahan.
"Kalamăngsa, tiyang sanagari sadaya sami langkung margi simpangan, ing ngriku dewa lajêng angwontênakên prang agêng utawi pacêklik, tuwin sêsakit agêng wontên ing margi simpangan wau. Tiyang sabăngsa sami lumampah ing margi simpangan, mila kêdah dipun têdahakên manawi lampahipun kasasar, awarni panandhang, supados sampun anglampahi makatên malih. Paprangan agêng ingkang sami dipun sumêrêpi wontên ing sêrat babad wau, têtela saking kaparênging para dewa, amargi para dewa kawajiban kêdah adamêl kamajênganing tumitah. Tiyang sumêrêp kados punapa kathahing tiyang sarta kewan ingkang anêmahi pêjah ing paprangan wau, ngantos tiyang mastani sakalangkung anggêgirisi, utawi mêmêlas sangêt.;",Para dewa anggêlar paprangan supados manungsa kasadaran lan bali dhatêng margi bener.
"Ananging sayêktosipun sanadyan tiyang punapa kewan, ingkang sami anêmahi pêjah ing paprangan wau, amung ingkang badanipun sampun botên pakangsal kangge amangun kamajêngan. Bilih badaning tiyang punika sampun botên kenging pinakartèkakên, badan wau lajêng kabucal dening para dewa, murih tiyangipun lajêng sagêd  angsal badan ingkang saya prayogi. Risaking badan punika limrahipun winastan pêjah. Măngka badan têtela kadosdene pangangge ingkang rinasuk ing tiyang, mila sabên tiyang minggah darajatipun, badanipun tamtu lajêng risak. Sagunging tiyang ingkang lena ing palagan agêng wau, sami lajêng minggah ing kaswargan, nunggil kalihan para dewa.;","Prang agêng minangka siklus kawajiban para dewa, badhe jiwa sae lajêng minggah kaswargan."
"Pakaryanipun para dewa anindakakên anggêr-anggêring Gusti kang amaha luhur, inggih iswara, ingkang gumêlaripun dados trimurti: Mahadewa, Wisnu tuwin Brahma. Anggêr wau ingkang mangun kamajênganing sadaya dumados ngantos kados ayang-ayanganing Pangeran. Anggarap kamajêngan makatên wau kawajibanipun para dewa, utawi botên amung tumrap salah satunggal, dados kawajibanipun beda kalihan manungsa. Anggènipun para dewa ngwontênakên kasusahan, panasaran, sarta godha, wontên ing margining manungsa, punika badhe anyobi kasantosaning manungsa, supados manungsa saya wimbuh karosanipun saha kasinungan kawicaksanan tuwin sami ambêk utami. Ing nalika para dewa anindakakên pakaryanipun, kalamăngsa kêdah angwontênakên warni-warni, ingkang botên sakeca tumraping manungsa. Anggènipun para dewa ngwontênakên makatên, punika tumrap  manungsa ingkang botên anut têpa palupi.;",Para dewa miturut dhawuhing Gusti Trimurti kangge ningkatakên kawicaksanan.
"Upaminipun para jaksa ngukum tiyang ingkang lampah awon, punika minăngka pemutipun tiyang limrah, manawi tiyang mandung raja darbe andika, tiyang wau lajêng kaukum dening pangadilan, awit tiyang wau anêrak anggêr-anggêr, sanajan botên mandung darbèking jaksa, utawi anêpsoni para jaksa. Ananging upaminipun jêngandika kapandungan, jêngandika nêpsu sarta amarăngka pandungipun, punika jêngandika kalêpatan. Manawi jêngandika langkung sêpuh, jêngandika kawajiban mulang pundi ingkang botên lêrês. Jêngandika manggalih sarta tumindak kangge prayogi andika piyambak. Ingkang kangge adamêl sênênging manah andika piyambak wau, lajêng dipun anggea nglampahi pakaryaning Gusti.;",Anggêr-anggêring dewa kados pangadilan kangge kamajêngan manungsa.
